0.2628	4	5
0.2673	3	17	5
0.2693	4	0	6
0.286	4	19	10
0.2866	8	11	7
0.2872	5	18	3
0.2878	4	22	8
0.2883	2	12	5
0.2889	3	12	5
0.2894	5	10	6
0.2899	2	24	8
0.2905	2	19	5
0.2911	3	20	6
0.2916	7	9	4
0.2922	2	18	5
0.2927	4	0	7
0.2933	5	21	4
0.2938	2	21	6
0.2944	3	20	8
0.2958	0	30	5
0.2964	3	0	4
0.297	3	28	6
0.2975	5	25	5
0.2981	5	34	4
0.2986	4	15	8
0.2991	5	14	4
0.3001	3	27	8
0.3009	5	21	6
0.3015	3	23	7
0.302	5	22	5
0.3026	2	32	8
0.3032	5	14	5
0.3038	2	37	5
0.3044	8	19	7
0.3049	5	19	1
0.3055	6	25	5
0.3061	3	27	9
0.3066	5	23	3
0.3071	1	22	5
0.3077	3	32	7
0.3082	2	27	3
0.3088	5	34	4
0.3093	7	32	8
0.3099	3	28	8
0.3104	5	17	7
0.311	5	26	7
0.3116	7	32	6
0.3121	3	26	9
0.3127	2	31	3
0.3132	4	16	4
0.3138	4	28	7
0.3143	6	21	5
0.3149	4	23	3
0.3155	0	17	10
0.316	7	14	7
0.3166	7	19	7
0.3171	5	23	7
0.3177	8	34	10
0.3182	8	26	4
0.3188	5	33	8
0.3194	6	29	7
0.3199	4	29	5
0.3205	11	13	9
0.321	5	15	3
0.3216	8	31	9
0.3221	4	20	8
0.3226	6	28	4
0.3232	6	23	7
0.3237	4	27	6
0.3244	10	13	7
0.3249	5	25	6
0.3256	6	23	9
0.3261	5	31	9
0.3266	8	21	9
0.3272	6	14	6
0.3278	9	31	7
0.3284	8	23	3
0.329	3	32	4
0.3295	9	18	5
0.3301	6	26	7
0.3306	4	26	4
0.3312	7	24	2
0.3319	9	27	10
0.3324	4	27	3
0.333	10	33	6
0.3336	8	10	7
0.3341	6	32	7
0.3347	5	18	6
0.3355	10	36	8
0.336	8	22	6
0.3366	4	11	3
0.3371	5	25	8
0.3377	11	15	3
0.3382	6	31	6
0.3388	7	18	9
0.3394	6	38	4
0.34	5	20	10
0.3405	4	28	3
0.3411	9	22	6
0.3416	4	17	5
0.3422	9	19	6
0.3429	4	27	1
0.3435	7	29	8
0.3442	6	18	2
0.3449	5	31	3
0.3454	4	21	6
0.3461	7	18	3
0.3468	7	16	8
0.3475	4	23	9
0.3482	8	22	4
0.3489	7	20	1
0.3496	9	33	9
0.3502	7	25	6
0.3509	6	33	3
0.3518	3	19	6
0.3527	6	19	4
0.3534	4	19	6
0.3542	5	11	6
0.3553	5	28	5
0.3563	6	14	10
0.357	4	25	9
0.3577	12	9	6
0.3584	4	34	8
0.3591	7	7	7
0.3599	6	30	2
0.3605	8	14	5
0.3611	5	18	7
0.3617	6	15	9
0.3624	9	21	4
0.363	9	27	9
0.3638	4	22	1
0.3647	5	29	6
0.3654	4	20	7
0.3661	5	25	5
0.3669	5	16	6
0.3677	7	26	8
0.3684	3	19	4
0.3692	6	21	4
0.3699	5	23	8
0.3706	6	9	5
0.3714	10	32	9
0.3722	5	19	6
0.3729	4	36	3
0.3736	9	15	5
0.3745	3	28	8
0.3752	5	6	9
0.3759	7	26	6
0.3767	4	30	6
0.3774	4	20	6
0.3781	7	28	2
0.379	9	20	7
0.3797	5	26	8
0.3806	10	24	8
0.3813	7	32	8
0.382	4	22	6
0.3827	3	22	6
0.3835	6	26	6
0.3844	9	27	3
0.3852	10	27	6
0.3859	8	16	7
0.3866	5	28	2
0.3874	7	23	5
0.3882	5	26	8
0.3889	11	0	4
0.3896	8	27	1
0.3904	7	24	9
0.3911	5	28	4
0.3919	6	41	6
0.3926	9	18	7
0.3933	9	36	4
0.3942	8	23	3
0.395	7	28	7
0.3957	9	24	6
0.3964	4	24	3
0.3972	5	22	8
0.398	8	22	6
0.399	7	26	6
0.3998	7	20	6
0.4009	5	33	5
0.4018	10	19	4
0.4026	5	29	4
0.4034	8	30	4
0.4042	8	32	4
0.4049	6	27	8
0.4056	7	20	5
0.4064	9	34	5
0.4072	8	31	6
0.408	8	35	5
0.4092	6	31	3
0.4103	10	37	5
0.4113	7	13	6
0.412	8	34	8
0.4127	8	11	8
0.4134	6	26	6
0.4142	7	33	9
0.415	7	35	2
0.4157	8	33	4
0.4165	13	22	4
0.4172	5	37	5
0.418	8	31	4
0.4189	5	31	6
0.4196	5	32	5
0.4203	8	30	6
0.4211	11	35	8
0.4218	7	20	4
0.4226	3	34	4
0.4236	9	20	8
0.4243	8	30	4
0.425	4	26	6
0.4257	5	22	9
0.4264	5	32	9
0.4272	7	28	2
0.428	8	32	8
0.4288	7	24	5
0.4295	6	38	8
0.4302	7	16	9
0.431	9	36	7
0.4317	7	17	9
0.4325	6	28	6
0.4334	8	28	6
0.4341	7	34	2
0.4348	6	18	6
0.4356	9	19	5
0.4363	6	37	7
0.4371	10	29	6
0.4378	4	35	1
0.4386	5	29	8
0.4395	5	32	4
